user_id,operator_id,in_attempts,in_missed,wait_sum_all,wait_sum_answered,out_count,total_calls,internal_calls,answered_in,in_missed_rate,asa,avg_wait_in_all,internal_share,outbound_enabled
166946,900746,26,2,611,582,51,77,4,24,0.07692307692307693,24.25,23.5,0.05194805194805195,True
166955,898558,23,0,655,655,0,23,0,23,0.0,28.47826086956522,28.47826086956522,0.0,False
166955,898560,21,0,674,674,0,21,0,21,0.0,32.095238095238095,32.095238095238095,0.0,False
166958,898422,65,1,472,468,36,101,0,64,0.015384615384615385,7.3125,7.2615384615384615,0.0,True
166971,914626,0,0,0,0,1,1,0,0,,,,0.0,True
166971,914630,25,0,294,294,143,168,0,25,0.0,11.76,11.76,0.0,True
166973,901584,125,0,721,721,189,314,4,125,0.0,5.768,5.768,0.012738853503184714,True
166973,901586,44,0,342,342,96,140,1,44,0.0,7.7727272727272725,7.7727272727272725,0.007142857142857143,True
166973,901588,31,0,180,180,60,91,1,31,0.0,5.806451612903226,5.806451612903226,0.01098901098901099,True
166974,900352,210,3,3602,3557,348,558,0,207,0.014285714285714285,17.183574879227052,17.152380952380952,0.0,True
166974,900354,174,4,2999,2948,534,708,0,170,0.022988505747126436,17.341176470588234,17.235632183908045,0.0,True
166975,899268,32,2,666,626,0,32,0,30,0.0625,20.866666666666667,20.8125,0.0,False
166975,899892,3,0,95,95,0,3,0,3,0.0,31.666666666666668,31.666666666666668,0.0,False
166975,899898,2,0,50,50,0,2,0,2,0.0,25.0,25.0,0.0,False
166975,899900,3,0,187,187,0,3,1,3,0.0,62.333333333333336,62.333333333333336,0.3333333333333333,False
166975,899906,1,0,19,19,0,1,0,1,0.0,19.0,19.0,0.0,False
166975,899912,1,0,19,19,0,1,0,1,0.0,19.0,19.0,0.0,False
166983,901880,2064,11,10768,10679,2591,4655,53,2053,0.005329457364341085,5.201656113005358,5.217054263565892,0.011385606874328678,True
